;1;1;2;2;"p";;;;;
"Image";1;2;1;2;"q";;;;;
11;0.0240420736288505;-0.00502484584912058;0.00947307004342404;0.0199981823939452;;;;;;
12;0.0274348422496571;0.00142254737590815;-0.00711273687954072;0.006074051493957;;0.00339276862080656;0.00644739322502873;0.0165858069229648;0.0139241308999882;0.0403500996687883
21;0.0158730158730159;-0.0123706286981855;0.00808214408281453;0.0504265198142749;;0.0115618263766412;0.0137931760740937;0.0151948809623553;0.0443524683203179;0.0849023517334081
22;-0.0705;"-9.615092303248891E-4";0.010576601533574;0.041563;;0.0863730158730159;0.0114091194678606;0.00249445745075946;0.00886351981427491;0.109140112605911
31;0.00764362620202186;-0.0284403881852355;0.00862622479028718;0.0286525857253439;;0.0781436262020219;0.0274788789549106;0.00195037674328682;0.0129104142746561;0.120483296174875
32;0.004638671875;-0.0558090209960938;0.00373077392578125;0.054066002368927;;0.00300495432702186;0.0273686328108583;0.00489545086450593;0.0254134166435831;0.0606824546459691
41;0.0771604938271605;0.0191568709580718;0.0244916957818386;0.0225384849870447;;0.0725218219521605;0.0749658919541655;0.0207609218560573;0.0315275173818823;0.199776153144266
42;0.0198279632599504;0.046365141448292;0.0267438388975037;0.0238930587780894;;0.0573325305672101;0.0272082704902202;0.00225214311566506;0.00135457379104476;0.0881475179641401
51;0.02854996243426;-0.0270778452334716;0.0035749454180249;0.039189025949431;;0.00872199917430952;0.0734429866817636;0.0231688934794788;0.0152959671713416;0.120629846506893
52;-0.00347222222222222;0.00267291791291494;-0.00451054897804396;0.0192298418209877;;0.0320221846564822;0.0297507631463865;0.00808549439606886;0.0199591841284434;0.0898176263273809
